backend,timestamp_utc,batch_id,vllm_version,model,tokenizer,prompt_id,request_index,prompt_tokens,requested_output_tokens,concurrency,cache_state,repetition,actual_queried_tokens,actual_cached_tokens,realized_cached_fraction,cache_state_valid,status,output_tokens,response_headers_ms,ttft_ms,last_token_ms,decode_ms,tpot_ms,decode_tokens_per_s,e2e_ms,batch_wall_ms,batch_output_tokens_per_s,error
edge,2026-08-26T08:44:57.755521+00:00,batch-0001,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,algorithm_analysis,0,2048,128,1,cold,7,2048,0,0.0,True,200,128,5.172,296.98,1072.908,775.929,6.11,163.675,1073.525,1073.656,119.219,
edge,2026-08-26T08:44:58.959362+00:00,batch-0002,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,warm,6,2048,2032,0.992188,True,200,128,6.224,36.37,814.892,778.522,6.13,163.13,815.494,815.662,156.928,
edge,2026-08-26T08:45:00.160863+00:00,batch-0003,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,systems_design,0,2048,128,1,warm,2,2048,2032,0.992188,True,200,128,6.584,37.159,815.543,778.384,6.129,163.158,816.191,816.354,156.795,
edge,2026-08-26T08:45:01.336144+00:00,batch-0004,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,cold,3,2048,0,0.0,True,200,128,5.127,295.005,1073.75,778.744,6.132,163.083,1074.412,1074.525,119.122,
edge,2026-08-26T08:45:02.556664+00:00,batch-0005,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,warm,3,2048,2032,0.992188,True,200,128,6.686,41.634,820.089,778.455,6.13,163.144,821.013,821.223,155.865,
edge,2026-08-26T08:45:03.728585+00:00,batch-0006,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,cold,0,2048,0,0.0,True,200,128,3.801,294.618,1072.988,778.371,6.129,163.161,1073.689,1073.821,119.201,
edge,2026-08-26T08:45:04.902843+00:00,batch-0007,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,systems_design,0,2048,128,1,cold,5,2048,0,0.0,True,200,128,4.043,293.91,1073.001,779.091,6.135,163.011,1073.613,1073.736,119.21,
edge,2026-08-26T08:45:06.072408+00:00,batch-0008,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,cold,6,2048,0,0.0,True,200,128,4.51,294.038,1073.308,779.27,6.136,162.973,1074.236,1074.369,119.14,
edge,2026-08-26T08:45:07.241128+00:00,batch-0009,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,systems_design,0,2048,128,1,cold,2,2048,0,0.0,True,200,128,3.223,293.464,1072.591,779.127,6.135,163.003,1073.489,1073.633,119.221,
edge,2026-08-26T08:45:08.455791+00:00,batch-0010,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,python_guide,0,2048,128,1,warm,0,2048,2032,0.992188,True,200,128,6.555,38.257,817.516,779.258,6.136,162.975,818.169,818.347,156.413,
edge,2026-08-26T08:45:09.665906+00:00,batch-0011,0.0.0,local,Qwen/Qwen2.5-7B-Instruct-AWQ,systems_design,0,2048,128,1,warm,8,2048,2032,0.992188,True,200,128,6.636,35.666,814.436,778.769,6.132,163.078,814.781,814.913,157.072,
