total_tokens,intended_cached_tokens,cached_fraction,median_ttft_ms,p10_ttft_ms,p90_ttft_ms,saved_vs_cold_ms,valid_samples,total_samples
1024,0,0.0,155.663,155.237,155.852,0.0,10,10
1024,256,0.25,122.732,122.468,123.969,32.931,10,10
1024,512,0.5,89.283,86.751,93.098,66.38,10,10
1024,768,0.75,55.65,55.3,56.121,100.013,10,10
1024,912,0.890625,38.593,36.484,38.999,117.07,10,10
1024,1024,1.0,32.522,30.662,33.702,123.141,10,10
2048,0,0.0,300.956,297.981,302.015,0.0,10,10
2048,512,0.25,233.562,232.769,234.249,67.394,10,10
2048,1024,0.5,164.961,163.621,167.071,135.995,10,10
2048,1536,0.75,95.973,94.755,96.468,204.983,10,10
2048,1840,0.8984375,56.921,55.805,57.591,244.034,10,10
2048,2048,1.0,36.463,33.334,39.158,264.493,10,10
4096,0,0.0,604.003,603.661,604.821,0.0,10,10
4096,1024,0.25,468.851,464.819,472.293,135.152,10,10
4096,2048,0.5,327.901,325.198,329.396,276.102,10,10
4096,3072,0.75,184.19,181.13,186.855,419.813,10,10
4096,3680,0.8984375,103.175,101.857,105.627,500.827,10,10
4096,4096,1.0,45.008,43.393,49.521,558.995,10,10
8192,0,0.0,1259.36,1257.555,1262.803,0.0,10,10
8192,2048,0.25,985.154,983.399,986.616,274.207,10,10
8192,4096,0.5,691.073,689.5,691.894,568.287,10,10
8192,6144,0.75,377.908,375.931,379.711,881.452,10,10
8192,7360,0.8984375,187.622,183.425,191.556,1071.738,10,10
8192,8192,1.0,61.188,57.998,63.508,1198.172,10,10
12288,0,0.0,1988.493,1982.134,1989.354,0.0,10,10
12288,3072,0.25,1569.551,1566.037,1575.755,418.942,10,10
12288,6144,0.5,1104.54,1101.677,1107.498,883.953,10,10
12288,9216,0.75,606.832,604.633,609.202,1381.661,10,10
12288,11056,0.8997395833333334,289.703,288.018,291.043,1698.789,10,10
12288,12288,1.0,77.674,75.618,80.272,1910.818,10,10
16384,0,0.0,2780.676,2777.583,2785.326,0.0,10,10
16384,4096,0.25,2210.762,2207.078,2214.098,569.914,10,10
16384,8192,0.5,1567.548,1558.821,1571.486,1213.128,10,10
16384,12288,0.75,854.687,848.804,857.815,1925.989,10,10
16384,14736,0.8994140625,400.352,395.907,407.337,2380.323,10,10
16384,16384,1.0,90.112,84.254,93.646,2690.564,10,10
24576,0,0.0,4578.169,4573.558,4586.313,0.0,10,10
24576,6144,0.25,3695.172,3685.788,3702.474,882.997,10,10
24576,12288,0.5,2654.556,2646.764,2659.396,1923.613,10,10
24576,18432,0.75,1452.347,1446.162,1454.355,3125.823,10,10
24576,22112,0.8997395833333334,674.712,667.294,676.666,3903.457,10,10
24576,24576,1.0,118.564,109.124,121.703,4459.606,10,10
