timestamp_utc,vllm_version,model,tokenizer,kv_cache_dtype,num_gpu_blocks,kv_cache_size_tokens,match_unit,total_tokens,prefix_fraction,intended_cached_tokens,actual_queried_tokens,actual_cached_tokens,repetition,ttft_ms,response_headers_ms,valid_hit
2026-08-20T14:19:34.265448+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,24576,0.5,12288,24576,12288,0,2638.066,19.246,True
2026-08-20T14:19:36.825415+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,8192,0.0,0,8192,0,3,1257.218,10.806,True
2026-08-20T14:19:40.831218+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,12288,0.0,0,12288,0,0,1981.66,18.448,True
2026-08-20T14:19:41.269335+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,2048,0.75,1536,2048,1536,9,95.367,5.878,True
2026-08-20T14:19:44.864740+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,12288,0.25,3072,12288,3072,6,1566.222,11.715,True
2026-08-20T14:19:45.095398+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,1024,0.9,912,1024,912,9,36.57,5.355,True
2026-08-20T14:19:54.258665+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,24576,0.0,0,24576,0,3,4558.582,16.981,True
2026-08-20T14:19:54.895050+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,2048,0.0,0,2048,0,6,294.787,4.193,True
2026-08-20T14:19:56.259484+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,8192,1.0,8192,8192,8176,5,60.289,11.067,True
2026-08-20T14:19:58.816046+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,8192,0.0,0,8192,0,9,1257.871,10.206,True
2026-08-20T14:20:08.003261+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,24576,0.0,0,24576,0,4,4581.08,17.433,True
2026-08-20T14:20:08.385192+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,2048,1.0,2048,2048,2032,8,36.308,6.689,True
2026-08-20T14:20:12.067548+00:00,0.27.1,local,Qwen/Qwen2.5-7B-Instruct-AWQ,auto,9181,146896,16,16384,0.75,12288,16384,12288,0,856.859,17.138,True
